CODE_UIC,LIBELLE,lat,lon,Perdu,Restituer,PerduRestituer,voyageur,ratioPV,voyageur2,ratioPV2
87281873,Magenta,48.880337248,2.35837230371,0,0,0,43958116,0,43958116,0
87448001,Flers,48.7443263395,-0.573534215609,0,0,0,148515,0,118812,0
87491803,Royan,45.6257256052,-1.01636819483,33,4,"0,121212121212121",228154,"0,000144639147243",182523,"0,000180799132164"
87481838,Savenay,47.360102664,-1.95574789014,0,0,0,656040,0,524832,0
87582403,Gazinet-Cestas,44.7721733661,-0.69927497751,0,0,0,402913,0,322331,0
87673004,Bayonne,43.4857360003,-1.4691069415,114,32,"0,280701754385965",931467,"0,00012238758861",829006,"0,000137514083131"
87672279,Puyoô,43.5236201609,-0.905322334059,0,0,0,35064,0,35064,0
87586107,Port-Ste-Marie,44.2504645144,0.388545716635,0,0,0,34778,0,34778,0
87763029,Valence-TGV,44.9927421535,4.9785492574,128,54,"0,421875",3853604,"3,32156599380736E-05",2620451,"4,88465535131166E-05"
87313049,Longueau,49.863788755,2.35217507414,0,0,0,549207,0,439365,0
87271338,Bobigny,48.910923829,2.43059857729,0,0,0,0,0,0,0
87765107,Orange,44.1374468338,4.81966237882,0,0,0,473212,0,378570,0
87345009,Douai,50.3580899796,3.10572928758,53,32,"0,60377358490566",3529027,"1,50183039120982E-05",2823221,"1,87728838797955E-05"
87286203,Strazeele,50.7135017935,2.63093511287,0,0,0,47075,0,47075,0
87725820,Vonnas,46.2272421163,4.99189680534,0,0,0,94344,0,94344,0
87212720,Oberhoffen-Camp-de-Haguenau,48.7891553478,7.8558337518,0,0,0,0,0,0,0
87696120,Neuvy-sur-Loire,47.5187471914,2.88259064099,0,0,0,0,0,0,0
87696138,Myennes,47.4502941469,2.93132553153,0,0,0,0,0,0,0
87296095,Marle-sur-Serre,49.7470956382,3.76977575874,0,0,0,49286,0,49286,0
87192054,Metz-devant-les-Ponts,49.1289625549,6.16093591151,0,0,0,0,0,0,0
87141507,Neuves-Maisons,48.6148502939,6.10895543091,0,0,0,20336,0,20336,0
87214213,Dambach-la-Ville,48.3215867317,7.43582504944,0,0,0,29842,0,29842,0
87192708,Jeandelize,49.1635741982,5.78896638514,0,0,0,0,0,0,0
87684290,Gien,47.6988786416,2.63675735062,0,0,0,145128,0,116103,0
87755611,La Crau,43.1448722386,6.06874310058,0,0,0,56357,0,56357,0
87481564,La Chapelle-Centre,47.2957462622,-1.54842756419,0,0,0,25404,0,25404,0
87686030,Paris-Gare-de-Lyon-Souterrain,48.8441421744,2.37399800182,0,0,0,0,0,0,0
87286641,Fretin,50.5607451595,3.14890142687,0,0,0,85673,0,85673,0
87287276,Ennevelin,50.5495233205,3.15876710445,0,0,0,714,0,714,0
87581801,Bègles,44.7994219622,-0.555217040727,0,0,0,27100,0,27100,0
87671867,Mauco-Benquet,43.8326726462,-0.535262666325,0,0,0,0,0,0,0
87142729,Autrey-lès-Gray,47.4750090541,5.48328984802,0,0,0,0,0,0,0
87481648,Châteaubriant,47.7170119488,-1.37139914639,0,0,0,120640,0,120640,0
87722439,Givors-Canal,45.5960679573,4.77237523937,0,0,0,51491,0,51491,0
87295063,Hirson,49.9092991859,4.07689826354,0,0,0,127542,0,102033,0
87382002,Bécon-les-Bruyères,48.9051695334,2.26881254884,0,0,0,9569899,0,9569899,0
87721159,Lyon-St-Paul,45.7663498412,4.82558187127,0,0,0,1792549,0,1434039,0
87447714,St-Sever,48.8436283647,-1.05164384995,0,0,0,76,0,76,0
87116145,Flamboin-Gouaix,48.4725062803,3.29462254491,0,0,0,0,0,0,0
